player,pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
Vozinha,GK,90,0,0,0,0,0,0,0.84,0,0,0,0.1,0,0,0,0,0,0,3.5,0
Fabián Ruiz,MF,71,0,0.4,0.8,0,0,0,1.5,0.04,0.4,0.2,0,0,0,0,0,0,0,0,0
Aymeric Laporte,DF,90,0,0.4,0.2,0,0,0,2.2,0.02,0,0.4,0,0,0,0,0,0,0,0,0
Rodri,MF,87,0,0,0.2,0.2,0,0,2.52,0.04,0.2,0,0,-0.1,0,0,0,0,0,0,0
Pedri,MF,90,0,0.4,0,0.2,0,0,1.98,0.22,0.4,0.2,0,-0.1,-0.1,-0.2,0,0,0,0,0
Diney Borges,DF,90,0,0.4,0,0,0,0,0.8,0,1,0.4,0,0,0,0,0,0,0,0,0
Pau Cubarsí,DF,90,0,0,0,0.2,0,0,2.18,0,0,0.2,0,0,0,0,0,0,0,0,0
Marcos Llorente,DF,90,0,0,0,0,0,0,1.64,0.04,0.4,0,0.1,-0.1,0,0,0,0,0,0,0
Marc Cucurella,DF,90,0,0.4,0.2,0,0,0,1.34,0.08,0.2,0,0,-0.1,-0.1,0,0,0,0,0,0
Mikel Oyarzabal,FW,90,0,0.4,0.6,0.2,0,0,0.2,0.02,0.2,0,0,0,0,0,0,0,0,0,0
Ferran Torres,FW,81,0,0.4,0.2,0.4,0,0,0.68,0.08,0,0,0,-0.2,0,0,0,0,0,0,0
Gavi,FW,71,0,0,0,0.2,0,0,0.6,0.04,0.6,0.2,0,-0.2,0,0,0,0,0,0,0
Jamiro Monteiro,MF,79,0,0,0,0,0,0,0.42,0,0.6,0.4,0,0,0,0,0,0,0,0,0
Pico Lopes,DF,90,0,0,0,0,0,0,0.82,0,0,0.4,0,0,0,0,0,0,0,0,0
Kevin Pina,MF,90,0,0,0,0.2,0,0,0.4,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0
Sidny Cabral,DF,76,0,0,0,0,0,0,0.34,0.02,0.4,0.4,0.2,-0.1,0,-0.2,0,0,0,0,0
Jovane Cabral,MF,61,0,0,0.2,0,0,0,0.26,0,0.4,0.2,0,0,0,0,0,0,0,0,0
Steven Moreira,DF,90,0,0,0,0.2,0,0,0.54,0.02,0,0.2,0,0,0,0,0,0,0,0,0
Ryan Mendes,MF,90,0,0,0.2,0,0,0,0.36,0,0.4,0,0.2,0,-0.2,0,0,0,0,0,0
Unai Simón,GK,90,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0.5,0
Lamine Yamal,Sub,19,0,0,0.2,0.2,0,0,0.38,0.14,0,0,0,-0.1,0,0,0,0,0,0,0
João Paulo,Sub,14,0,0,0,0,0,0,0.06,0,0.2,0.4,0.1,0,0,0,0,0,0,0,0
Mikel Merino,Sub,19,0,0.4,0,0,0,0,0.2,0,0.2,0,0,-0.1,0,0,0,0,0,0,0
Willy Semedo,Sub,29,0,0,0,0,0,0,0.18,0,0.2,0.2,0,0,0,0,0,0,0,0,0
Nuno da Costa,Sub,29,0,0,0,0,0,0,0.12,0,0.2,0,0.1,0,0,0,0,0,0,0,0
Deroy Duarte,Sub,29,0,0,0,0,0,0,0.16,0,0,0.2,0,0,0,0,0,0,0,0,0
Dailon Livramento,FW,61,0,0,0.2,0,0,0,0.08,0,0,0,0.1,0,-0.1,0,0,0,0,0,0
Dani Olmo,Sub,9,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Laros Duarte,MF,61,0,0,0,0,0,0,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0
Telmo Arcanjo,Sub,11,0,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0
Nico Williams,Sub,3,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0