player,Pos.,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
F. Balogun,FW,72,2,3,1,1,0,0,15,1,0,0,4,0,2,0,0,0,0,0,0
M. Tillman,MF,82,0,2,1,2,0,1,38,1,0,1,4,1,0,0,0,1,0,0,0
A. Freeman,DF,90,0,0,0,0,0,1,74,1,1,2,0,1,0,0,0,1,0,0,0
Mauricio,Sub,45,1,1,0,0,0,0,20,0,2,0,1,0,0,0,0,1,0,0,0
T. Ream,DF,90,0,0,0,0,0,0,90,0,1,1,0,0,0,0,0,1,0,0,0
C. Richards,DF,90,0,0,1,0,0,0,84,0,1,1,1,3,0,0,0,1,0,0,0
J. Enciso,FW,90,0,0,1,1,0,1,25,1,2,0,4,0,0,0,0,4,0,0,0
T. Adams,MF,90,0,0,0,0,0,0,59,0,2,2,3,2,0,1,0,1,0,0,0
G. Reyna,Sub,8,1,1,0,0,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0
D. Gómez,MF,80,0,0,2,2,0,0,27,0,2,2,0,1,0,1,0,3,0,0,0
C. Pulisic,MF,45,0,0,0,0,0,1,22,2,2,0,1,1,0,0,0,0,0,0,0
A. Robinson,DF,90,0,0,0,0,0,0,57,7,1,0,0,1,0,0,0,1,0,0,0
J. Cáceres,DF,79,0,0,0,0,0,0,31,3,5,0,2,3,0,1,0,3,0,0,0
W. McKennie,MF,90,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,1,0,0,0
S. Berhalter,Sub,45,0,0,1,0,0,0,28,1,0,1,1,0,0,0,0,1,0,0,0
M. Almirón,MF,79,0,0,0,2,0,0,23,0,2,1,1,1,0,1,0,3,0,0,0
J. Alonso,DF,90,0,0,0,0,0,0,36,1,2,2,1,1,0,1,0,4,0,0,0
S. Dest,MF,72,0,0,0,0,0,0,34,2,0,1,0,0,0,0,0,0,0,0,0
A. Cubas,MF,90,0,0,0,0,0,0,31,0,5,0,0,5,0,0,0,4,0,0,0
O. Alderete,DF,90,0,0,0,0,0,0,32,0,0,2,1,1,0,0,0,4,0,0,0
T. Weah,Sub,18,0,0,1,1,0,0,14,0,0,0,0,2,0,0,0,1,0,0,0
R. Pepi,Sub,18,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0
G. Gómez,DF,90,0,0,0,0,0,0,29,0,0,1,0,2,1,0,0,4,0,0,0
A. Romero,Sub,10,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,1,0,0,0
R. Sosa,Sub,11,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0
G. Velázquez,Sub,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
Á. Arce,Sub,28,0,0,0,0,0,0,6,0,1,0,0,1,0,1,0,1,0,0,0
A. Sanabria,FW,62,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,3,0,0,0
M. Freese,GK,90,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0
D. Bobadilla,MF,45,0,0,0,0,1,0,10,0,0,2,0,0,0,0,0,3,0,0,0
O. Gill,GK,90,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,4,0,3,0