,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,SAV
B. Gutiérrez,0,0,0,1,1,4,0,2,23,2,0,0,2,1,0
É. Lira,0,1,0,0,0,0,0,0,45,0,2,0,0,2,0
J. Vásquez,0,0,0,0,0,0,0,0,81,0,1,0,0,0,0
C. Montes,0,0,1,0,0,0,0,0,65,1,0,0,2,1,0
I. Reyes,0,0,0,0,0,1,0,0,42,2,0,0,0,0,0
J. Quiñones,1,0,0,0,0,5,2,1,33,1,0,0,1,2,0
Á. Fidalgo,0,0,0,0,0,0,0,0,34,0,0,0,0,2,0
R. Alvarado,0,1,0,0,0,0,0,0,35,4,5,0,2,2,0
R. Jiménez,1,0,0,0,2,4,2,1,19,0,1,1,1,0,0
R. Rangel,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2
J. Gallardo,0,0,0,0,0,2,0,1,45,0,0,0,1,0,0
G. Mora,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0
L. Chávez,0,0,0,0,0,0,0,0,28,1,2,0,1,0,0
E. Álvarez,0,0,0,0,0,0,0,0,15,0,1,0,0,1,0
A. Vega,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
A. González,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
A. Modiba,0,0,0,0,0,1,1,0,15,2,3,1,2,2,0
J. Adams,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
K. Mudau,0,0,0,0,1,0,0,0,29,1,4,0,2,3,0
N. Sibisi,0,0,0,1,0,0,0,0,50,0,0,0,1,0,0
R. Williams,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2
I. Okon,0,0,0,0,0,0,0,0,49,0,2,0,0,0,0
Y. Sithole,0,0,1,0,0,0,0,0,19,0,0,0,3,0,0
T. Mokoena,0,0,0,1,0,0,0,0,42,2,0,0,1,2,0
M. Mbokazi,0,0,0,0,0,1,1,0,30,2,2,0,1,3,0
L. Foster,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0
I. Rayners,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
T. Mbatha,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0
T. Zwane,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0
O. Appollis,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
E. Makgopa,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Total,2,2,3,3,4,19,6,5,854,20,26,2,23,22,4